Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,posee_conectividad
Mendoza,Santa Rosa,Barrio Molina Cabrera,239,NO,NO,NO,NO,NO,NO,NO,NO,NO,50112030,-33.1297119555186,-68.2037878560507,NO
Mendoza,Santa Rosa,La Dormida,2270,NO,NO,NO,NO,NO,SI,SI,SI,SI,50112040,-33.3499243562079,-67.9160460628593,SI
Mendoza,Santa Rosa,Las Catitas,3621,NO,NO,SI,NO,NO,SI,SI,SI,SI,50112050,-33.3001058785583,-68.0532182373693,SI
Mendoza,Santa Rosa,Santa Rosa,2509,NO,NO,NO,NO,NO,SI,SI,NO,NO,50112060,-33.2544227888887,-68.1567438797332,SI
Mendoza,Tunuyán,Barrio San Cayetano,161,NO,NO,NO,NO,NO,NO,NO,NO,NO,50119010,-33.6339135898779,-69.1879023870713,NO
Mendoza,Tunuyán,Campo Los Andes,538,NO,SI,NO,NO,NO,NO,NO,NO,NO,50119020,-33.707078744557,-69.1826331369796,SI
Mendoza,Tunuyán,Colonia Las Rosas,2169,NO,NO,NO,NO,NO,SI,SI,SI,SI,50119030,-33.6129364669522,-69.1126485401013,SI
Mendoza,Tunuyán,El Manzano,26,NO,NO,NO,NO,NO,NO,NO,SI,SI,50119040,-33.6005741925646,-69.3350878551815,SI
Mendoza,Tunuyán,Los Sauces,661,NO,NO,NO,SI,NO,SI,SI,SI,SI,50119050,-33.5952101670008,-69.1840214848841,SI
Mendoza,Tunuyán,Tunuyán,28859,SI,SI,SI,SI,NO,SI,SI,SI,SI,50119060,-33.5775549686559,-69.0253759357637,SI
Mendoza,Tunuyán,Vista Flores,4358,NO,NO,NO,NO,NO,SI,SI,SI,SI,50119070,-33.651355463945,-69.1646922660824,SI
Mendoza,Tupungato,Barrio Belgrano Norte,1392,NO,NO,NO,NO,NO,NO,NO,NO,NO,50126010,-33.3301032817585,-69.1359513617454,NO
Mendoza,Tupungato,Cordón del Plata,1713,NO,NO,NO,NO,NO,SI,SI,SI,SI,50126020,-33.4689491349532,-69.1399451802858,SI
Mendoza,Tupungato,El Peral,541,NO,NO,NO,NO,NO,NO,NO,NO,NO,50126030,-33.3706550679362,-69.1923487111206,NO
Mendoza,Tupungato,El Zampal,177,NO,NO,NO,NO,NO,NO,NO,NO,SI,50126035,-33.3989500475535,-69.1057367245591,SI
Mendoza,Tupungato,La Arboleda,540,NO,NO,NO,NO,NO,SI,NO,NO,SI,50126040,-33.3688267818118,-69.1247363670469,SI
Mendoza,Tupungato,San José,1445,NO,NO,NO,SI,NO,SI,NO,SI,SI,50126050,-33.3068450101282,-69.1645780862147,SI
Misiones,Apóstoles,Tres Capones,485,NO,NO,NO,NO,NO,NO,NO,NO,NO,54007070,-28.0000872703207,-55.608042877744,NO
Santa Fe,San Cristóbal,Colonia Bossi,111,SI,NO,NO,SI,NO,SI,NO,NO,SI,82091080,-30.6691245233432,-61.7896030300364,SI
Santa Fe,San Cristóbal,Colonia Rosa,562,NO,NO,NO,NO,NO,NO,NO,NO,SI,82091090,-30.3022785889636,-61.9844913702309,SI
Santa Fe,San Cristóbal,Constanza,129,NO,NO,NO,NO,NO,NO,SI,NO,NO,82091100,-30.664633909429,-61.3207552160733,SI
Santa Fe,San Cristóbal,Curupaity,220,NO,NO,NO,NO,NO,SI,NO,NO,NO,82091110,-30.397911889967,-61.6518044215673,SI
Santa Fe,San Cristóbal,Hersilia,2780,NO,SI,NO,NO,NO,SI,SI,SI,SI,82091120,-30.0056765366847,-61.8396467676821,SI
Santa Fe,San Cristóbal,Huanqueros,665,NO,NO,NO,NO,NO,SI,NO,NO,SI,82091130,-30.0136747533996,-61.2192947646911,SI
Santa Fe,San Cristóbal,La Cabral,161,NO,NO,NO,NO,SI,SI,SI,NO,NO,82091140,-30.0876438007142,-61.1797070550573,SI
Santa Fe,San Cristóbal,La Lucila,112,NO,NO,NO,NO,NO,NO,NO,NO,NO,82091145,-30.4196635334388,-61.0033073134897,NO
Santa Fe,San Cristóbal,La Rubia,299,NO,SI,NO,NO,NO,NO,SI,NO,NO,82091150,-30.1113966728017,-61.7927608545145,SI
Santa Fe,San Cristóbal,Las Avispas,46,NO,NO,NO,NO,NO,NO,NO,NO,NO,82091160,-29.8953127955717,-61.2911992453769,NO
Santa Fe,San Cristóbal,Las Palmeras,545,NO,NO,NO,NO,NO,SI,SI,NO,SI,82091170,-30.6326345828984,-61.6277233886562,SI
Santa Fe,San Cristóbal,Moisés Ville,2318,SI,SI,NO,SI,NO,SI,SI,SI,SI,82091180,-30.7182008702613,-61.469140085345,SI
Santa Fe,San Cristóbal,Monigotes,347,NO,NO,NO,NO,NO,SI,SI,SI,SI,82091190,-30.4901359922347,-61.6348224695165,SI
Santa Fe,San Cristóbal,Ñanducita,79,NO,NO,NO,NO,NO,SI,NO,NO,NO,82091200,-30.37245992257,-61.1326015812096,SI
Santa Fe,San Cristóbal,Palacios,245,SI,NO,NO,SI,NO,SI,NO,SI,SI,82091210,-30.7106694051354,-61.6236952048733,SI
Santa Fe,San Cristóbal,San Cristóbal,14389,SI,SI,NO,SI,SI,SI,SI,SI,SI,82091220,-30.311687011314,-61.2386444593771,SI
Buenos Aires,Azul,Azul,55728,SI,SI,SI,SI,SI,SI,SI,SI,SI,6049020,-36.7795144970313,-59.8586331707414,SI
Buenos Aires,Azul,Cacharí,2960,NO,NO,SI,NO,NO,SI,SI,SI,SI,6049030,-36.3805626332947,-59.5030645507265,SI
Buenos Aires,Azul,Chillar,3083,NO,NO,NO,NO,SI,SI,SI,SI,SI,6049040,-37.3150113247344,-59.9853181679139,SI
Buenos Aires,Bahía Blanca,Bahía Blanca,291327,SI,SI,SI,SI,SI,SI,SI,SI,SI,6056010,-38.7114037284555,-62.2569089501864,SI
Buenos Aires,Bahía Blanca,Cabildo,2046,NO,SI,SI,NO,NO,SI,SI,SI,SI,6056020,-38.4838572081944,-61.8926015349487,SI
Buenos Aires,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6745,SI,SI,SI,NO,NO,SI,SI,SI,SI,6056030,-38.7136524854986,-62.3924221653991,SI
Buenos Aires,Bahía Blanca,Grunbein,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-38.7471079502848,-62.1891166907456,SI
Buenos Aires,Bahía Blanca,Ingeniero White,0,NO,NO,NO,SI,NO,NO,NO,SI,SI,,-38.7794670416666,-62.262951248824,SI
Buenos Aires,Bahía Blanca,Villa Bordeau,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-38.6472605094596,-62.3200223419024,SI
Buenos Aires,Bahía Blanca,Villa Espora,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-38.7765069529222,-62.1851833537179,NO
Misiones,Libertador Grl. San Martín,El Alcázar,3034,NO,NO,NO,NO,SI,NO,SI,SI,SI,54077020,-26.7102586382645,-54.8161444547822,SI
Misiones,Libertador Grl. San Martín,Garuhapé,5325,SI,SI,NO,NO,SI,SI,SI,SI,SI,54077030,-26.8186828823083,-54.9576120074303,SI
Misiones,Libertador Grl. San Martín,Mbopicuá,254,NO,NO,NO,NO,NO,NO,NO,NO,NO,54077040,-26.8615012222942,-55.0463438652711,NO
Misiones,Libertador Grl. San Martín,Puerto Leoni,1114,NO,NO,NO,NO,NO,SI,NO,NO,SI,54077050,-26.9840910613646,-55.1694842635982,SI
Misiones,Libertador Grl. San Martín,Puerto Rico,15995,SI,SI,NO,NO,NO,SI,SI,SI,SI,54077060,-26.8148524027618,-55.0240728847562,SI
Misiones,Libertador Grl. San Martín,Ruiz de Montoya,1672,SI,SI,NO,NO,SI,SI,SI,NO,SI,54077070,-26.9665882832067,-55.05758992095,SI
Misiones,Libertador Grl. San Martín,San Alberto,838,NO,NO,NO,NO,NO,NO,NO,NO,NO,54077080,-26.8048950436231,-54.9881508224082,NO
Misiones,Libertador Grl. San Martín,San Gotardo,273,NO,NO,NO,NO,NO,NO,NO,NO,SI,54077090,-26.9225122221192,-55.1238743204073,SI
Misiones,Libertador Grl. San Martín,San Miguel,1486,SI,NO,NO,NO,NO,NO,NO,NO,SI,54077100,-26.8533367010148,-54.8892924101276,SI
Misiones,Libertador Grl. San Martín,Villa Akerman,489,NO,NO,NO,NO,NO,NO,NO,NO,NO,54077110,-26.9412646689407,-55.0957711615406,NO
Misiones,Libertador Grl. San Martín,Villa Urrutia,123,NO,NO,NO,NO,NO,NO,NO,NO,NO,54077120,-26.8462676092826,-54.739753574325,NO
Misiones,Montecarlo,Bario Ita,581,NO,NO,NO,NO,NO,NO,NO,NO,NO,54084007,-26.5283257581417,-54.7089179903484,NO
Misiones,Montecarlo,Barrio Cuatro Bocas,336,NO,NO,NO,NO,NO,NO,NO,NO,NO,54084003,-26.5482209436331,-54.6748836684444,NO
Misiones,Montecarlo,Barrio Guatambu,305,NO,NO,NO,NO,NO,NO,NO,NO,NO,54084005,-26.6027932981786,-54.6955807827058,NO
Misiones,Montecarlo,Caraguatay,1440,NO,NO,NO,NO,NO,NO,SI,SI,SI,54084010,-26.6563488324986,-54.7392272649556,SI
Misiones,Montecarlo,Laharrague,791,NO,NO,NO,NO,NO,NO,NO,NO,NO,54084020,-26.532818826907,-54.6506736537237,NO
Misiones,Montecarlo,Montecarlo,18827,SI,SI,NO,SI,NO,NO,SI,SI,SI,54084030,-26.5661764915312,-54.7614267394945,SI
Misiones,Montecarlo,Piray Kilómetro 18,300,NO,NO,NO,NO,NO,NO,NO,NO,SI,54084040,-26.5237915925702,-54.5916547620688,SI
Buenos Aires,Hurlingham,William C. Morris,51471,NO,SI,NO,SI,NO,SI,NO,SI,SI,6408010,-34.5815622830288,-58.6583005365543,SI
Buenos Aires,Ituzaingó,Ituzaingó Centro,111138,SI,SI,SI,SI,SI,SI,SI,SI,SI,6410010,-34.6440551161203,-58.688489332955,SI
Buenos Aires,Ituzaingó,Ituzaingó Sur,23264,NO,NO,NO,NO,NO,SI,NO,SI,SI,6410010,-34.6699430265699,-58.6733044157835,SI
Buenos Aires,Ituzaingó,Villa Gobernador Udaondo,33422,SI,SI,SI,SI,NO,SI,SI,SI,SI,6410010,-34.6168695808944,-58.693287500009,SI
Buenos Aires,José C. Paz,Del Viso,6873,NO,SI,NO,NO,NO,NO,NO,SI,SI,6412010,-34.480495794913,-58.8042588983994,SI
Buenos Aires,José C. Paz,José C Paz,250301,SI,SI,SI,SI,SI,SI,SI,SI,SI,6412010,-34.5211611965464,-58.770881112578,SI
